 INDX YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC   ANN
 MZ4  2010    -5  -1   3   3  -6  -1  -9   0  13 -10 -11  -2   -2.2
 MZ4  2011    -6  -1  -4  -2   6  -2   5  -4   4  -3   4 -10   -1.1
 MZ4  2012     4   1  -4  -6   0   6  -8  -2  -1   8  -3  -3   -0.7
 MZ4  2013     2  -3  -3   5  -2  -5   0  -6   0   9  -8  -2   -1.1
 MZ4  2014     3  -5  -3   1   4  -1  -5  -5  -4   3   6  -6   -1.0
 MZ4  2015    -5  -1  -2   5   4   9  -1   4  -7   1  -2  -2    0.3
 MZ4  2016    -2   0  -2   0  16  -1   8  -6 -11   1  10   1    1.2
 MZ4  2017    12   0  -2  -2  -3  -9   6   2   6  -2 -13  -8   -1.1
 MZ4  2018    -2   1  -8   8   4  -8  10   1  -9  -4  -4  -2   -1.1
 MZ4  2019     2  -3  -2  -1   4  -5   4   8   0  -2  -1   2    0.5
 MZ4  2020   999 999 999 999 999 999 999 999 999 999 999 999  999.0
  ZN  1911   -24 -53 -38 -27 -57 -20 -26 -29 -27  -9  29  43  -19.8
  ZN  1912    21  -6 -18   0 -16  23 -23 -14  33  10  13 -18    0.4
  ZN  1913     7  -7   3 -18  14 -29  -1 -58   5 -20 -23 -36  -13.6
  ZN  1914   -15 -27 -56   8 -47 -13  -6 -27 -37   3  21  43  -12.8
  ZN  1915    12  26  -3   0-102  99 -11 -32 -17 -13  10 -33   -5.3
  ZN  1916   -19  -9 -11   7 -24 -16 -23  -6   0 -27   9 -42  -13.4
  ZN  1917   -25   1 -45  -7 -29 -39  27 -12   2   0 -41 -26  -16.2
  ZN  1918   -33 -32 -29  -7   5  14  22  22  -2   0  22   3   -1.3
  ZN  1919    32 -20   6   8 -19   9 -17  -4 -20 -15  13 -10   -3.1
  ZN  1920   -19 -25 -11  -5  12  -2  -4  63 -15  -6  31  -8    0.9
  ZN  1921   -28 -15  16  14  -2  14  32  22  10 -10  11 -13    4.3
  ZN  1922   -66 -36  29  19 -30 -33 -11   0 -23   9  16 -10  -11.3
  ZN  1923   -16  36   7 -27  -9   2 -30 -20 -11 -24  -4  16   -6.7
  ZN  1924   -10   4 -40  -5 -24   4   7 -22  -1   2 -18 -12   -9.6
