time,time,event_duration,event_start,event_end
2006-04-18,21292,8,2006-04-18,2006-04-25
2006-05-01,21305,16,2006-05-01,2006-05-16
2006-06-29,21364,5,2006-06-29,2006-07-03
2006-12-01,21519,6,2006-12-01,2006-12-06
2006-12-22,21540,8,2006-12-22,2006-12-29
2007-06-13,21713,6,2007-06-13,2007-06-18
2008-02-11,21956,5,2008-02-11,2008-02-15
2008-02-22,21967,5,2008-02-22,2008-02-26
2008-03-31,22005,7,2008-03-31,2008-04-06
2008-04-30,22035,12,2008-04-30,2008-05-11
2008-05-18,22053,7,2008-05-18,2008-05-24
2008-06-22,22088,6,2008-06-22,2008-06-27
2008-06-30,22096,7,2008-06-30,2008-07-06
2008-07-22,22118,6,2008-07-22,2008-07-27
2008-11-20,22239,6,2008-11-20,2008-11-25
2008-12-09,22258,10,2008-12-09,2008-12-18
2009-01-20,22300,8,2009-01-20,2009-01-27
2009-05-04,22404,20,2009-05-04,2009-05-23
2009-06-08,22439,10,2009-06-08,2009-06-17
2009-08-19,22511,10,2009-08-19,2009-08-28
2009-09-28,22551,6,2009-09-28,2009-10-03
2009-10-16,22569,12,2009-10-16,2009-10-27
2010-01-19,22664,9,2010-01-19,2010-01-27
2010-06-26,22822,5,2010-06-26,2010-06-30
2010-08-18,22875,11,2010-08-18,2010-08-28
2010-10-14,22932,5,2010-10-14,2010-10-18
2010-10-30,22948,5,2010-10-30,2010-11-03
2011-02-23,23064,13,2011-02-23,2011-03-07
2011-05-03,23133,12,2011-05-03,2011-05-14
2011-05-23,23153,5,2011-05-23,2011-05-27
2011-06-21,23182,7,2011-06-21,2011-06-27
2011-10-31,23314,6,2011-10-31,2011-11-05
2012-02-03,23409,8,2012-02-03,2012-02-10
2012-02-26,23432,7,2012-02-26,2012-03-03
2012-05-13,23509,10,2012-05-13,2012-05-22
2012-06-21,23548,9,2012-06-21,2012-06-29
2012-07-15,23572,7,2012-07-15,2012-07-21
2012-08-05,23593,16,2012-08-05,2012-08-20
2013-04-01,23832,8,2013-04-01,2013-04-08
2013-04-15,23846,5,2013-04-15,2013-04-19
2013-08-03,23956,5,2013-08-03,2013-08-07
2013-08-13,23966,6,2013-08-13,2013-08-18
2013-11-16,24061,6,2013-11-16,2013-11-21
2014-04-27,24223,9,2014-04-27,2014-05-05
2014-06-10,24267,6,2014-06-10,2014-06-15
2014-06-25,24282,8,2014-06-25,2014-07-02
2014-07-15,24302,5,2014-07-15,2014-07-19
2015-01-20,24491,8,2015-01-20,2015-01-27
2015-03-04,24534,14,2015-03-04,2015-03-17
2015-05-12,24603,8,2015-05-12,2015-05-19
2015-07-27,24679,15,2015-07-27,2015-08-10
2015-08-12,24695,6,2015-08-12,2015-08-17
2016-03-23,24919,6,2016-03-23,2016-03-28
2016-06-24,25012,5,2016-06-24,2016-06-28
2016-09-19,25099,6,2016-09-19,2016-09-24
2016-10-28,25138,9,2016-10-28,2016-11-05
2017-01-19,25221,8,2017-01-19,2017-01-26
2017-06-23,25376,19,2017-06-23,2017-07-11
2017-08-16,25430,7,2017-08-16,2017-08-22
2017-08-31,25445,7,2017-08-31,2017-09-06
2017-09-11,25456,7,2017-09-11,2017-09-17
2017-09-19,25464,5,2017-09-19,2017-09-23
2018-01-03,25570,6,2018-01-03,2018-01-08
2018-03-01,25627,6,2018-03-01,2018-03-06
2018-03-18,25644,5,2018-03-18,2018-03-22
2018-03-25,25651,5,2018-03-25,2018-03-29
2018-04-12,25669,8,2018-04-12,2018-04-19
2018-08-05,25784,17,2018-08-05,2018-08-21
2018-11-19,25890,5,2018-11-19,2018-11-23
2019-02-12,25975,5,2019-02-12,2019-02-16
2019-03-28,26019,7,2019-03-28,2019-04-03
2019-04-05,26027,8,2019-04-05,2019-04-12
2019-06-14,26097,6,2019-06-14,2019-06-19
2019-07-15,26128,11,2019-07-15,2019-07-25
2019-10-17,26222,6,2019-10-17,2019-10-22
2019-10-25,26230,6,2019-10-25,2019-10-30
2019-11-11,26247,11,2019-11-11,2019-11-21
2019-12-21,26287,5,2019-12-21,2019-12-25
2020-02-27,26355,7,2020-02-27,2020-03-04
2020-03-28,26385,5,2020-03-28,2020-04-01
2020-04-03,26391,6,2020-04-03,2020-04-08
2020-12-21,26653,7,2020-12-21,2020-12-27
2021-01-17,26680,7,2021-01-17,2021-01-23
2021-02-08,26702,5,2021-02-08,2021-02-12
2021-02-27,26721,11,2021-02-27,2021-03-09
2021-04-10,26763,8,2021-04-10,2021-04-17
2021-04-23,26776,5,2021-04-23,2021-04-27
2021-07-28,26872,9,2021-07-28,2021-08-05
2021-10-08,26944,5,2021-10-08,2021-10-12
2021-11-08,26975,6,2021-11-08,2021-11-13
