time,SOI
2007-11-01,2.4909637
2007-12-01,3.4097135
2008-01-01,3.950365
2008-02-01,4.5794945
2008-03-01,3.093838
2008-04-01,1.657996
2008-05-01,0.72480786
2008-06-01,1.2025355
2008-07-01,0.9790888
2008-08-01,1.8264213
2008-09-01,2.697387
2008-10-01,2.8126738
2008-11-01,3.0342004
2008-12-01,3.2209783
2009-01-01,3.2334228
2009-02-01,3.8468213
2009-03-01,2.047283
2009-04-01,1.8388656
2009-05-01,0.67628545
2009-06-01,0.7804941
2009-07-01,0.88732463
2009-08-01,0.93647474
2009-09-01,1.8303355
2009-10-01,0.7215213
2009-11-01,1.3696682
2009-12-01,1.277904
2010-01-01,1.4135377
2010-02-01,0.86173403
2010-03-01,1.059664
2010-04-01,2.0420024
2010-05-01,1.5983586
2010-06-01,0.9915333
2010-07-01,2.2006419
2010-08-01,2.519767
2010-09-01,3.5165439
2010-10-01,3.1259646
2010-11-01,2.8959079
2010-12-01,4.350767
2011-01-01,4.28788
2011-02-01,4.5893173
2011-03-01,3.8592656
2011-04-01,2.585276
2011-05-01,1.0426406
2011-06-01,0.89847666
2011-07-01,1.4633526
2011-08-01,1.2903485
2011-09-01,2.373646
2011-10-01,2.5027435
2011-11-01,2.7215743
2011-12-01,4.02049
2012-01-01,3.2950175
2012-02-01,2.6042936
2012-03-01,2.2019343
2012-04-01,0.92465806
2012-05-01,0.7936402
2012-06-01,0.21233162
2012-07-01,0.63961667
2012-08-01,0.7104062
2012-09-01,1.7025672
2012-10-01,1.9476533
2012-11-01,2.0217295
2012-12-01,1.3945571
2013-01-01,2.2235367
2013-02-01,1.9896027
2013-03-01,2.8985667
2013-04-01,1.3106954
2013-05-01,1.4961439
2013-06-01,1.5708477
2013-07-01,1.3932278
2013-08-01,1.0937479
2013-09-01,1.8939242
2013-10-01,1.5629823
2013-11-01,2.436533
2013-12-01,2.034137
2014-01-01,3.550591
2014-02-01,2.2078426
2014-03-01,0.9777594
2014-04-01,1.7399377
2014-05-01,1.2811536
2014-06-01,0.71236336
2014-07-01,0.5019889
2014-08-01,0.35258126
2014-09-01,1.0308608
2014-10-01,1.2411983
2014-11-01,1.2431924
2014-12-01,1.4797482
2015-01-01,1.5734696
2015-02-01,2.4568431
2015-03-01,1.0662371
2015-04-01,1.1193384
2015-05-01,0.21890467
2015-06-01,0.12256151
2015-07-01,-0.22019713
2015-08-01,-0.15727311
2015-09-01,0.1769184
2015-10-01,0.39582306
2015-11-01,1.5813352
2015-12-01,1.2451127
2016-01-01,0.6035757
2016-02-01,0.5321215
2016-03-01,1.6291928
2016-04-01,0.1815343
2016-05-01,1.2025355
2016-06-01,1.1920482
2016-07-01,1.0786816
2016-08-01,1.4732121
2016-09-01,2.6042936
2016-10-01,1.3696313
2016-11-01,1.8342867
2016-12-01,2.1698077
2017-01-01,2.42996
2017-02-01,2.209135
2017-03-01,2.515151
2017-04-01,0.8794591
2017-05-01,1.064243
2017-06-01,0.22743486
2017-07-01,1.3080367
2017-08-01,1.5138321
2017-09-01,2.1023417
2017-10-01,2.6514864
2017-11-01,2.5721667
2017-12-01,1.853932
2018-01-01,3.2209783
2018-02-01,1.7740215
2018-03-01,2.8946154
2018-04-01,1.58392
2018-05-01,1.0970345
2018-06-01,0.47052687
2018-07-01,0.8906111
2018-08-01,0.68943155
2018-09-01,0.7523186
2018-10-01,2.038088
2018-11-01,1.7687409
2018-12-01,2.877592
2019-01-01,2.2825465
2019-02-01,1.0727732
2019-03-01,1.4862844
2019-04-01,1.277904
2019-05-01,0.5268778
2019-06-01,0.33618557
2019-07-01,0.37680554
2019-08-01,0.86505747
2019-09-01,0.57274145
2019-10-01,1.4390914
2019-11-01,1.1612508
2019-12-01,1.6055593
2020-01-01,2.5931416
2020-02-01,2.2962835
2020-03-01,1.6527524
2020-04-01,1.293635
2020-05-01,1.2130228
2020-06-01,0.38009205
2020-07-01,1.1278317
2020-08-01,1.9548541
2020-09-01,2.2943263
2020-10-01,2.144254
2020-11-01,2.4057357
2020-12-01,3.6200511
2021-01-01,4.067683
2021-02-01,3.54339
2021-03-01,2.1783378
2021-04-01,1.410916
2021-05-01,0.024371978
