,CEI
1992-01-01,3.1295545530533064
1992-02-01,3.4245595869565784
1992-03-01,3.659492996406925
1992-04-01,3.260372080097576
1992-05-01,2.7634038158999736
1992-06-01,2.14716309075314
1992-07-01,1.6091176804359535
1992-08-01,1.2614207416024465
1992-09-01,0.5571638564072957
1992-10-01,0.5383048540225541
1992-11-01,0.7447546969119454
1992-12-01,0.8495842871142444
1993-01-01,0.5690086210383382
1993-02-01,0.6130744567691765
1993-03-01,0.743715719590983
1993-04-01,1.2000235481099057
1993-05-01,1.449249697460251
1993-06-01,1.856024766981965
1993-07-01,1.7333016293119372
1993-08-01,1.9279684034216784
1993-09-01,1.646002812695712
1993-10-01,1.4836468782274834
1993-11-01,0.919048024410897
1993-12-01,0.5343515072083835
1994-01-01,0.12866447466790237
1994-02-01,0.006219502860530066
1994-03-01,0.32035007415421674
1994-04-01,0.9021733750672994
1994-05-01,1.401452316639307
1994-06-01,1.5122968649899458
1994-07-01,1.7219965348006385
1994-08-01,1.9666862602362694
1994-09-01,2.365869733088844
1994-10-01,2.2103670961585244
1994-11-01,2.116528393777825
1994-12-01,2.1122224519692443
1995-01-01,1.8928944751891885
1995-02-01,1.7421435507237208
1995-03-01,1.026300329228964
1995-04-01,1.0385312847888069
1995-05-01,0.9166208138004591
1995-06-01,0.8237171209557254
1995-07-01,0.09601783624520455
1995-08-01,-0.5331734277870359
1995-09-01,-0.8221435497488692
1995-10-01,-0.8208611876482518
1995-11-01,-0.9595532198341041
1995-12-01,-0.8926389752566141
1996-01-01,-1.244599662180367
1996-02-01,-1.2804783307021073
1996-03-01,-1.741147943208356
1996-04-01,-1.5960518821164036
1996-05-01,-1.5369929323165152
1996-06-01,-1.7154819998476227
1996-07-01,-1.5942824194716931
1996-08-01,-1.6243085808094722
1996-09-01,-1.2240457745655406
1996-10-01,-1.147704202232441
1996-11-01,-0.8639901186034642
1996-12-01,-1.0141413879254157
1997-01-01,-1.0620528078864926
1997-02-01,-1.5052538491212664
1997-03-01,-0.9932924679667601
1997-04-01,-0.29009002825547164
1997-05-01,1.1963963584993675
1997-06-01,2.2760017518002242
1997-07-01,2.744948338734761
1997-08-01,3.1619013561538347
1997-09-01,3.3466858329145532
1997-10-01,3.9188786199335013
1997-11-01,4.082304274165919
1997-12-01,4.00746603099099
1998-01-01,4.352766149545481
1998-02-01,4.375204261437764
1998-03-01,4.691285223285918
1998-04-01,4.139594437988396
1998-05-01,3.089731548104493
1998-06-01,1.0555354077821628
1998-07-01,-0.8897221157505487
1998-08-01,-1.8543674383958622
1998-09-01,-2.221487820727879
1998-10-01,-2.535406445231205
1998-11-01,-2.752963362126569
1998-12-01,-3.031133047846008
1999-01-01,-3.2280407017828665
1999-02-01,-3.11565758081945
1999-03-01,-2.9512022184622926
1999-04-01,-2.91362891830062
1999-05-01,-2.600858943773404
1999-06-01,-2.1592822919765764
1999-07-01,-1.766100849541014
1999-08-01,-1.8893041332266685
1999-09-01,-1.7334227583611743
1999-10-01,-1.8919044512833776
1999-11-01,-2.2320062607684887
1999-12-01,-2.878694397174013
2000-01-01,-2.820031877191415
2000-02-01,-2.9426670015831995
2000-03-01,-2.8769451942444553
2000-04-01,-3.0826942048412738
2000-05-01,-2.668992812881605
2000-06-01,-1.8699501015793758
2000-07-01,-0.9586634129409423
2000-08-01,-0.8989277260303239
2000-09-01,-1.2615964640641075
2000-10-01,-1.7516407378185508
2000-11-01,-2.221220718272848
2000-12-01,-2.2372262297550543
2001-01-01,-2.2008439598549048
2001-02-01,-1.8737645669603469
2001-03-01,-1.906470619690261
2001-04-01,-1.6314501471375094
2001-05-01,-0.8352937472157067
2001-06-01,-0.518759496162795
2001-07-01,-0.1434459933488726
2001-08-01,-0.0560441511089592
2001-09-01,0.15938274259127552
2001-10-01,0.08897796215666527
2001-11-01,-0.42685670115810437
2001-12-01,-0.16937450313170443
2002-01-01,-0.31923603963079245
2002-02-01,-0.3222834218470365
2002-03-01,-0.5588173409632504
2002-04-01,-0.3364945922933732
2002-05-01,0.5717135616718556
2002-06-01,0.8662192630453442
2002-07-01,1.3287052242215083
2002-08-01,1.5222582760371786
2002-09-01,1.931834570448359
2002-10-01,2.0762356228715513
2002-11-01,2.0227425183081555
2002-12-01,2.2439228728370275
2003-01-01,2.0206835409019575
2003-02-01,1.8759782453608236
2003-03-01,1.3975320778686537
2003-04-01,1.0326404276491328
2003-05-01,0.5756515633329231
2003-06-01,0.6517521764789108
2003-07-01,0.3571189178232398
2003-08-01,0.11486496814954775
2003-09-01,-0.08283203993405422
2003-10-01,0.31292049233660624
2003-11-01,0.6140102436543099
2003-12-01,0.21937369178933208
2004-01-01,0.5785103853856655
2004-02-01,0.12185957474618392
2004-03-01,0.24804343696139725
2004-04-01,0.1584802542917536
2004-05-01,-0.19497996849972812
2004-06-01,0.4020012939841021
2004-07-01,0.38782709053700326
2004-08-01,1.3189215922647728
2004-09-01,1.1256791911343227
2004-10-01,1.0993568402943932
2004-11-01,1.3442470247564762
2004-12-01,1.5586668350825277
2005-01-01,1.3754922416581983
2005-02-01,1.7824802930598624
2005-03-01,1.2919416301493922
2005-04-01,1.5055740606443964
2005-05-01,1.042337913606199
2005-06-01,0.8235620286052308
2005-07-01,0.4070490805032019
2005-08-01,-0.006725375421675978
2005-09-01,0.01357185807582717
2005-10-01,-0.46224105708614743
2005-11-01,-0.6950261102667759
2005-12-01,-0.7560536149139507
2006-01-01,-0.9651446572232678
2006-02-01,-1.244581011188438
2006-03-01,-2.001590493559442
2006-04-01,-1.9836890106451275
2006-05-01,-1.4554165345293995
2006-06-01,-0.48753875479393416
2006-07-01,0.46543287383881626
2006-08-01,0.9242889913293028
2006-09-01,1.2328286198635068
2006-10-01,1.6451160696161136
2006-11-01,1.4393757388383621
2006-12-01,1.587494738452612
2007-01-01,1.3893385631236979
2007-02-01,1.2561305720416822
2007-03-01,0.8455364425781183
2007-04-01,0.30438477748996184
2007-05-01,-0.10216253064262323
2007-06-01,-0.5747671415830631
2007-07-01,-0.5473256195358416
2007-08-01,-0.8757212315760969
2007-09-01,-0.7884406849335326
2007-10-01,-1.4364158551139257
2007-11-01,-1.825942266984368
2007-12-01,-2.563794413777739
2008-01-01,-3.043733003875082
2008-02-01,-3.562989638225524
2008-03-01,-3.553285588686075
2008-04-01,-3.14279962868813
2008-05-01,-2.2330455390195416
2008-06-01,-1.7165203381549277
2008-07-01,-1.278539315046668
2008-08-01,-1.494274087205428
2008-09-01,-1.5140914530236407
2008-10-01,-1.8184868325894845
2008-11-01,-1.909083669739131
2008-12-01,-2.048379004398427
2009-01-01,-2.0314112492527463
2009-02-01,-2.0734278366092687
2009-03-01,-1.8282702551956467
2009-04-01,-1.7996789115290663
2009-05-01,-0.9297331005867857
2009-06-01,-0.5272396300188606
2009-07-01,0.006306799320184617
2009-08-01,0.21324258343216085
2009-09-01,0.357180333421706
2009-10-01,1.1353418527291963
2009-11-01,1.577746739013419
2009-12-01,2.232354908179935
2010-01-01,2.3092637757110532
2010-02-01,2.5996022619086774
2010-03-01,2.611266582426576
2010-04-01,1.5137744611812565
2010-05-01,0.18788884363111769
2010-06-01,-0.7720052037097682
2010-07-01,-1.6476111463439174
2010-08-01,-2.5054941908549972
2010-09-01,-3.6792173373841472
