,Year,Month,soi3m,nino5m,CEI,category,code
2004-07-01,2004,7,-0.0659261789809382,0.32190091155620737,0.3878270905371456,Neutral,0.0
2004-08-01,2004,8,-0.8502458466579971,0.46867574560673464,1.3189215922647317,Neutral,0.0
2004-09-01,2004,9,-0.5098344792695917,0.6158447118647011,1.1256791911342927,NINO3.4 NINO,1.0
2004-10-01,2004,10,-0.3465905995650856,0.7527662407292369,1.0993568402943226,NINO3.4 NINO,1.0
2004-11-01,2004,11,-0.4819120303590275,0.8623349943974594,1.3442470247564868,NINO3.4 NINO,1.0
2004-12-01,2004,12,-0.654317347372016,0.9043494877105261,1.5586668350825421,NINO3.4 NINO,1.0
2005-01-01,2005,1,-0.5014909339204926,0.8740013077376706,1.3754922416581632,NINO3.4 NINO,1.0
2005-02-01,2005,2,-1.0111898385809304,0.771290454478897,1.7824802930598274,CEI NINO,3.0
2005-03-01,2005,3,-0.5848947254831234,0.707046904666233,1.2919416301493563,NINO3.4 NINO,1.0
2005-04-01,2005,4,-0.884132671434022,0.6214413892103384,1.5055740606443604,NINO3.4 NINO,1.0
2005-05-01,2005,5,-0.5039007672827194,0.5384371463235461,1.0423379136062656,NINO3.4 NINO,1.0
2005-06-01,2005,6,-0.3983196522584013,0.425242376346881,0.8235620286052823,Neutral,0.0
2005-07-01,2005,7,-0.09697213517032689,0.31007694533301694,0.4070490805033438,Neutral,0.0
2005-08-01,2005,8,0.19162593167190364,0.18490055625018617,-0.006725375421717472,Neutral,0.0
2005-09-01,2005,9,0.0725591669900151,0.08613102506581219,0.013571858075797083,Neutral,0.0
2005-10-01,2005,10,0.4417199068188632,-0.020521150267355123,-0.4622410570862183,Neutral,0.0
2005-11-01,2005,11,0.5097576972896376,-0.1852684129771279,-0.6950261102667655,Neutral,0.0
2005-12-01,2005,12,0.3905091302539141,-0.3655444846600225,-0.7560536149139365,Neutral,0.0
2006-01-01,2006,1,0.38952770599794484,-0.5756169512253582,-0.965144657223303,NINO3.4 NINA,-1.0
2006-02-01,2006,2,0.5236869283008596,-0.7208940828876137,-1.2445810111884734,NINO3.4 NINA,-1.0
2006-03-01,2006,3,1.128955510807599,-0.872634982751879,-2.001590493559478,CEI NINA,-3.0
2006-04-01,2006,4,1.1838896598281292,-0.7997993508170345,-1.9836890106451637,CEI NINA,-3.0
2006-05-01,2006,5,0.8729416828945193,-0.5824748516348139,-1.4554165345293333,NINO3.4 NINA,-1.0
2006-06-01,2006,6,0.15604729285663932,-0.33149146193724316,-0.4875387547938825,Neutral,0.0
2006-07-01,2006,7,-0.6117610247210528,-0.1463281508820943,0.4654328738389585,Neutral,0.0
2006-08-01,2006,8,-0.8363449581092274,0.08794403322003427,0.9242889913292617,Neutral,0.0
2006-09-01,2006,9,-0.9551493419819942,0.2776792778814828,1.232828619863477,Neutral,0.0
2006-10-01,2006,10,-1.2021377439343706,0.44297832568167256,1.6451160696160432,SOI NINO,2.0
2006-11-01,2006,11,-0.7780481702351344,0.6613275686032384,1.4393757388383728,NINO3.4 NINO,1.0
2006-12-01,2006,12,-0.6760508710081871,0.9114438674444393,1.5874947384526263,NINO3.4 NINO,1.0
2007-01-01,2007,1,-0.39236800666482285,0.99697055645884,1.3893385631236628,NINO3.4 NINO,1.0
